event	volume	sounds
BalloonPop	0.5	Impact\BalloonPop
Baseball	0.5	Impact\Baseball
DestroyDefault	0.5	Impact\Break1
DestroyStone	0.5	Impact\Break1
DestroyWood	0.65	Impact\BreakWood1;Impact\BreakWood2
DestroyMetal	0.5	Impact\BreakSmall1
DestroyPaper	0.5	Impact\BreakSmall1;Impact\BreakSmall2
DestroyGlass	0.5	Impact\BreakGlass1;Impact\BreakGlass2;Impact\BreakGlass3;Impact\BreakGlass5;Impact\BreakGlass6;Impact\BreakGlass7
DestroyGlassSmall	0.5	Impact\BreakGlass6
DestroyCloth	0.01	Impact\BreakSmall1;Impact\BreakSmall2
DestroySmall	0.5	Impact\BreakSmall1;Impact\BreakSmall2
DestroyPiano	1	Impact\PianoImpact
BarrelExplode	0.5	Explosions\BarrelExplode1
BulletHitDefault	0.5	Impact\BulletHitDefault1
BulletHitMetal	0.5	Impact\BulletHitMetal1;Impact\BulletHitMetal2;Impact\BulletHitMetal3
BulletHitFlesh	0.5	Impact\BulletHitFlesh1;Impact\BulletHitFlesh2;Impact\BulletHitFlesh3;Impact\BulletHitFlesh4;Impact\BulletHitFlesh5;Impact\BulletHitFlesh6;Impact\BulletHitFlesh7;Impact\BulletHitFlesh8
BulletHitGlass	0.3	Impact\BulletHitGlass1
BulletHitPaper	0.5	Impact\BulletHitPaper1
BulletHitWood	0.5	Impact\BulletHitWood1;Impact\BulletHitWood2
BulletHitCloth	0.5	Impact\BulletHitDefault1
BulletHitStone	0.5	Impact\BulletHitDefault1
BulletHitPiano	1	Impact\PianoNote1;Impact\PianoNote2;Impact\PianoNote3;Impact\PianoNote4;Impact\PianoNote5;Impact\PianoNote6;Impact\PianoNote7;Impact\PianoNote8
ButtonPush1	0.5	ButtonPush1
MetalLever1	0.5	MetalLever1;MetalLever2
ChurchBell1	0.5	ChurchBell1
DoorOpen1	0.5	DoorOpen1
DoorClose1	0.5	DoorClose1
Piston1	1	Piston1
Piston2	1	Piston2
ElectricSparks	0.5	ElectricSparks1;ElectricSparks2;ElectricSparks3;ElectricSparks4;ElectricSparks5;ElectricSparks6;ElectricSparks7;ElectricSparks8;ElectricSparks9;ElectricSparks10
CrowdCheer	1	Crowd/CrowdCheer1;Crowd/CrowdCheer2;Crowd/CrowdCheer3;Crowd/CrowdCheer4;Crowd/CrowdCheer5
ElevatorDing	0.5	ElevatorDing
CoinSlot	0.75	CoinSlot1
Sawblade	0.5	Sawblade1
GetReady1	1.0	Music\GetReady1
Fight1	1.0	Music\Fight1
Death1	1.0	Music\Death1
GameOver1	1.0	Music\GameOver1
GetAmmoSmall	0.5	Weapons\Reload1
GetHealthSmall	0.5	Items\GetHealth
GetHealthLarge	0.5	Items\GetHealth
GetSlomo	0.5	Items\GetSlomo
ItemSpawn	0.25	Items\ItemSpawn
Syringe	0.4	Items\Syringe1
PlayerDive	0.5	Player\PlayerDive
PlayerDiveCatch	1	Player\PlayerDiveCatch
PlayerGrabCatch	1	Player\PlayerDiveCatch
PlayerJump	0.5	Player\PlayerJump
PlayerLand	0.2	Player\PlayerLand
PlayerLandKnockdown	0.5	Impact\MeleePunch1;Impact\MeleePunch2;Impact\MeleePunch3
PlayerRoll	0.5	Player\PlayerRoll
PlayerGib	0.75	Player\PlayerGib
PlayerBurningRank1	0.5	Player\PlayerBurning1
PlayerBurningRank2	0.8	Player\PlayerBurning1
Chainsaw	0.7	Weapons\Chainsaw1
ChainsawStartup	0.8	Weapons\ChainsawStartup
ChainsawStartupFail	0.8	Weapons\ChainsawStartupFail
FootstepConcrete	0.5	Player\FootstepConcrete1
FootstepDirt	0.3	Player\FootstepDirt1
FootstepMetal	0.5	Player\FootstepMetal1
FootstepSnow	0.5	Player\FootstepSnow1
FootstepTile	0.5	Player\FootstepTile1
FootstepWood	0.5	Player\FootstepWood1
FootstepPiano	0.5	Impact\PianoNote1;Impact\PianoNote2;Impact\PianoNote3;Impact\PianoNote4;Impact\PianoNote5;Impact\PianoNote6;Impact\PianoNote7;Impact\PianoNote8
Dig	0.5	Player\Dig1;Player\Dig2;Player\Dig3;Player\Dig4;Player\Dig5;Player\Dig6
Madness	0.5	Madness1;Madness2;Madness3;Madness4;Madness5
AssaultRifle	0.5	Weapons\AssaultRifle1
AssaultRifleDraw	0.5	Weapons\Reload1
AssaultRifleReload	0.5	Weapons\Reload2
Bazooka	0.75	Weapons\Bazooka
BazookaReload	0.75	Weapons\Bazooka
C4Throw	0.5	Weapons\C4Throw
C4Arm	0.5	Weapons\C4Arm
C4Detonate	0.5	Weapons\C4Detonate
Carbine	0.6	Weapons\Carbine1
CarbineAim	0.75	Weapons\Click1
CarbineDraw	0.5	Weapons\Reload4
CarbineReload	0.5	Weapons\Reload2
Flamethrower	0.5	Weapons\Flamethrower1;Weapons\Flamethrower2;Weapons\Flamethrower3;Weapons\Flamethrower4
Flaregun	0.5	Weapons\Flaregun1
Uzi	0.35	Weapons\Uzi
SilencedUzi	0.7	Weapons\Silenced4
UziAim	0.75	Weapons\Click1
UziDraw	0.5	Weapons\Reload4
UziReload	0.5	Weapons\Reload2
KatanaDraw	0.7	Weapons\KatanaDraw
MacheteDraw	0.7	Weapons\MacheteDraw
Magnum	0.7	Weapons\Magnum
MagnumAim	0.75	Weapons\Click1
MagnumDraw	0.5	Weapons\Reload4
MagnumReload	0.5	Weapons\Reload2
MagnumReloadStart	0.5	Weapons\MagnumOpen
MagnumReloadEnd	0.5	Weapons\Click2
MolotovThrow	0.65	Player\Throw1
MineArm	0.5	Weapons\MineArm
MineTrigger	0.5	Weapons\MineTrigger
MineTick	0.4	Weapons\MineTick
GLauncher	0.6	Weapons\GLauncher1
GLauncherAim	0.75	Weapons\Click1
GLauncherDraw	0.5	Weapons\Reload3
GLauncherReload	0.5	Weapons\Reload2
Pistol	0.58	Weapons\Pistol2
Pistol45	0.48	Weapons\Pistol45
SilencedPistol	0.7	Weapons\Silenced3
PistolAim	0.75	Weapons\Click1
PistolDraw	0.5	Weapons\Reload4
PistolReload	0.5	Weapons\Reload2
Revolver	0.6	Weapons\Revolver1
RevolverAim	0.75	Weapons\Click1
RevolverDraw	0.5	Weapons\Reload4
RevolverReload	0.5	Weapons\Reload2
SMG	0.65	Weapons\SMG
TommyGun	0.5	Weapons\Tommygun1
TommyGunAim	0.75	Weapons\Click1
TommyGunDraw	0.5	Weapons\Reload2
TommyGunReload	0.5	Weapons\Reload2
Shotgun	0.8	Weapons\Shotgun
ShotgunAim	0.75	Weapons\Click1
ShotgunDraw	0.5	Weapons\Reload2
ShotgunReload	0.5	Weapons\ShotgunReload
ShotgunPump1	0.5	Weapons\ShotgunPump1
ShotgunPump2	0.5	Weapons\ShotgunPump2
SawedOff	0.55	Weapons\Shotgun
RiotShotgun	0.85	Weapons\RiotShotgun
SawedOffAim	0.75	Weapons\Click1
SawedOffDraw	0.5	Weapons\Reload3
SawedOffReload	0.5	Weapons\Reload2
M60	0.66	Weapons\M60
M60Aim	0.75	Weapons\Click1
M60Draw	0.5	Weapons\Reload1
Sniper	0.75	Weapons\Sniper1
SniperAim	0.75	Weapons\Click1
SniperDraw	0.5	Weapons\Reload3
SniperReload	0.5	Weapons\Reload2
SniperBoltAction1	0.5	Weapons\SniperBoltAction1
SniperBoltAction2	0.5	Weapons\SniperBoltAction2
GrenadeBounce	0.5	Weapons\GrenadeBounce1
GrenadeDud	0.5	Weapons\GrenadeDud
GrenadeDraw	0.75	Weapons\Draw1
GrenadeSafe	0.75	Weapons\GrenadeSafe
GrenadeThrow	0.65	Player\Throw1
OutOfAmmoLight	0.5	Weapons\OutOfAmmoLight
OutOfAmmoHeavy	0.5	Weapons\OutOfAmmoHeavy
DropWeapon	0.5	Player\Throw1
Throw	0.5	Player\Throw1
WeaponBounce	0.5	Impact\WeaponBounce1
ChainSwing	0.2	Weapons\ChainSwing1
MP50	0.5	Weapons\MP50
MachinePistol	0.5	Weapons\MachinePistol
FlakCannon	0.5	Weapons\FlakCannon1
StrengthBoostStart	1	Weapons\StrengthBoostStart
StrengthBoostStop	1	Weapons\StrengthBoostStop
BowDrawback	0.8	Weapons\BowDrawback
BowShoot	1	Weapons\BowShoot
BowNoAmmo	1	Weapons\BowNoAmmo
Whip	1	Weapons\Whip1
GlassShard	0.5	Impact\GlassShard1;Impact\GlassShard2;Impact\GlassShard3;Impact\GlassShard4;Impact\GlassShard5
ImpactGlass	0.5	Impact\ImpactGlass1;Impact\ImpactGlass2
ImpactWood	0.4	Impact\ImpactWood1;Impact\ImpactWood2
ImpactMetal	0.3	Impact\ImpactMetal1;Impact\ImpactMetal2;Impact\ImpactMetal3
ImpactFlesh	0.5	Impact\ImpactFlesh1;Impact\ImpactFlesh2;Impact\ImpactFlesh3
MetalMelee	0.7	Impact\MetalMelee1;Impact\MetalMelee2
Explosion	0.5	Explosions\Explosion1;Explosions\Explosion2;Explosions\Explosion3;Explosions\Explosion4;Explosions\Explosion5;Explosions\Explosion6
MuffledExplosion	1.0	Explosions\MuffledExplosion1;Explosions\MuffledExplosion2;Explosions\MuffledExplosion3
Break	0.5	Impact\Break1;Impact\Break2;Impact\Break3;Impact\Break4;Impact\Break5;Impact\Break6;Impact\Break7;Impact\Break8;Impact\Break9
BreakSmall	0.45	Impact\BreakSmall1;Impact\BreakSmall2;Impact\BreakSmall3
BreakGlass	0.5	Impact\BreakGlass1;Impact\BreakGlass2;Impact\BreakGlass3;Impact\BreakGlass5;Impact\BreakGlass6;Impact\BreakGlass7
BreakGlassSmall	0.5	Impact\BreakGlassSmall1;Impact\BreakGlassSmall2
Splash	0.8	Impact\Splash1
MeleeKick	0.75	Impact\MeleePunch1;Impact\MeleePunch2;Impact\MeleePunch3
MeleeSwing	1.0	Impact\MeleeSwing1;Impact\MeleeSwing2;Impact\MeleeSwing3
MeleeSlash	0.25	Impact\MeleeSlash1
MeleePunch	0.75	Impact\MeleePunch1;Impact\MeleePunch2;Impact\MeleePunch3
MeleeHitBlunt	0.75	Impact\MeleePunch1;Impact\MeleePunch2;Impact\MeleePunch3
MeleeHitSharp	0.75	Impact\MeleeHitSharp1;Impact\MeleeHitSharp2;Impact\MeleeHitSharp3
MeleeDraw	0.5	Weapons\Draw1
MeleeDrawMetal	0.5	Weapons\Draw1
Draw1	0.5	Weapons\Draw1
ShellBounce	0.4	Impact\ShellBounce1;Impact\ShellBounce2
StreetsweeperPropeller	0.9	Streetsweeper\StreetsweeperPropeller
StreetsweeperBooting	0.9	Streetsweeper\StreetsweeperBooting
StreetsweeperBootingDone	0.9	Streetsweeper\StreetsweeperBootingDone
StreetsweeperDamagedBeep	0.45	Streetsweeper\StreetsweeperDamagedBeep
StreetsweeperSelfDestructBeep	0.35	Streetsweeper\StreetsweeperSelfDestructBeep
MeleeBlock	0.75	Impact\MeleeBlock1;Impact\MeleeBlock2
MeleeBlockWood	0.25	Impact\MeleeBlock1;Impact\MeleeBlock2
MeleeBlockMetal	0.25	Impact\MeleeBlock1;Impact\MeleeBlock2
PlayerJoin	0.5	Player\PlayerJoin
PlayerLeave	0.5	Player\PlayerLeave
Heartbeat	1	Player\Heartbeat
LogoSlam	1	LogoSlam
MenuMove	0.25	GUI\MenuMove
MenuCheckItem	0.5	GUI\MenuOK
MenuOK	0.5	GUI\MenuOK
MenuCancel	0.5	GUI\MenuCancel
TimerTick	0.4	GUI\MenuOK
TutorialSuccess1	0.75	TutorialSuccess1
TutorialSuccess2	0.75	TutorialSuccess2
Wilhelm	0.5	Player\Wilhelm
CartoonScream	0.8	Player\CartoonScream
Wings	0.35	Animals\Wings1;Animals\Wings2;Animals\Wings3;Animals\Wings4;Animals\Wings5
